cuda
saved stats to ./Pretrain/Planners/pointmaze/large/Stats/PointMaze_Large_Planner_stats.pkl
Training planner for pointmaze-large Dataset
Backbone:transformer, Horizon: 32, Epochs: 1000000, Batch Size: 128, Learning Rate; 0.0002
Pretraining hyperparameters saved to ./Pretrain/Planners/args/pointmaze/large/hyperparameters.json
step 0 loss 0.04973619282245636
step 10 loss 0.48207028210163116
step 20 loss 0.44549067318439484
step 30 loss 0.3856861412525177
step 40 loss 0.29195915460586547
step 50 loss 0.25456652790308
step 60 loss 0.2287316933274269
step 70 loss 0.20687378495931624
step 80 loss 0.18953538686037064
step 90 loss 0.17904628962278366
step 100 loss 0.16909183859825133
step 110 loss 0.16646550148725509
step 120 loss 0.15795374810695648
step 130 loss 0.15118223279714585
step 140 loss 0.15475493520498276
step 150 loss 0.14531873315572738
step 160 loss 0.14419192522764207
step 170 loss 0.13772693872451783
step 180 loss 0.14061435014009477
step 190 loss 0.14108178690075873
step 200 loss 0.12994377836585044
step 210 loss 0.12680239379405975
step 220 loss 0.12330955117940903
step 230 loss 0.12492172867059707
step 240 loss 0.1277447983622551
step 250 loss 0.1194124959409237
step 260 loss 0.11939956992864609
step 270 loss 0.1240589439868927
step 280 loss 0.12249788641929626
step 290 loss 0.11669408231973648
step 300 loss 0.12032264918088913
step 310 loss 0.1240946851670742
step 320 loss 0.10977745354175568
step 330 loss 0.11558931469917297
step 340 loss 0.11393666714429855
step 350 loss 0.11582083255052567
step 360 loss 0.11560593470931053
step 370 loss 0.11306522339582444
step 380 loss 0.1128970243036747
step 390 loss 0.11491359993815423
step 400 loss 0.11430545151233673
step 410 loss 0.11597108542919159
step 420 loss 0.11441101506352425
step 430 loss 0.11191035956144332
step 440 loss 0.1124649852514267
step 450 loss 0.11165144369006157
step 460 loss 0.10539415553212166
step 470 loss 0.11470381245017051
step 480 loss 0.10886346474289894
step 490 loss 0.11168562546372414
step 500 loss 0.10787230581045151
step 510 loss 0.10665269792079926
step 520 loss 0.10997158586978913
step 530 loss 0.11401881426572799
step 540 loss 0.10991754829883575
step 550 loss 0.11205974444746972
step 560 loss 0.10631775334477425
step 570 loss 0.11195970177650452
step 580 loss 0.10580527111887932
step 590 loss 0.10571510270237923
step 600 loss 0.1064669705927372
step 610 loss 0.10654685646295547
step 620 loss 0.10683449506759643
step 630 loss 0.10977721661329269
step 640 loss 0.10945315137505532
step 650 loss 0.10835034176707267
step 660 loss 0.11090465784072875
step 670 loss 0.11056530177593231
step 680 loss 0.10142170041799545
step 690 loss 0.1047847718000412
step 700 loss 0.10306441634893418
step 710 loss 0.10568761602044105
step 720 loss 0.1089516282081604
step 730 loss 0.10745474025607109
step 740 loss 0.10271700173616409
step 750 loss 0.10427430048584937
step 760 loss 0.10542038828134537
step 770 loss 0.10351026207208633
step 780 loss 0.1053632989525795
step 790 loss 0.10091908350586891
step 800 loss 0.10313221290707589
step 810 loss 0.10505670756101608
step 820 loss 0.10492880195379257
step 830 loss 0.09968803003430367
step 840 loss 0.10247696489095688
step 850 loss 0.1081145316362381
step 860 loss 0.09878522381186486
step 870 loss 0.1043324425816536
step 880 loss 0.10280812308192253
step 890 loss 0.10168278217315674
step 900 loss 0.1040802240371704
step 910 loss 0.1004003904759884
step 920 loss 0.10294173136353493
step 930 loss 0.10000567883253098
step 940 loss 0.10515517219901085
step 950 loss 0.10199610739946366
step 960 loss 0.0999209776520729
step 970 loss 0.10088067948818207
step 980 loss 0.1030026525259018
step 990 loss 0.10316186398267746
step 1000 loss 0.10175130888819695
step 1010 loss 0.1037032127380371
step 1020 loss 0.09784861803054809
step 1030 loss 0.10123527944087982
step 1040 loss 0.1021752581000328
step 1050 loss 0.10500456988811493
step 1060 loss 0.09820988476276397
step 1070 loss 0.10044070780277252
step 1080 loss 0.10367249175906182
step 1090 loss 0.09972765147686005
step 1100 loss 0.09818432778120041
step 1110 loss 0.10079719424247742
step 1120 loss 0.09944820553064346
step 1130 loss 0.10011243596673011
step 1140 loss 0.09593063741922378
step 1150 loss 0.09890974834561347
step 1160 loss 0.09692322611808776
step 1170 loss 0.09936489760875702
step 1180 loss 0.10087719708681106
step 1190 loss 0.09971249699592591
step 1200 loss 0.09915238991379738
step 1210 loss 0.10194319412112236
step 1220 loss 0.09877958968281746
step 1230 loss 0.09529838040471077
step 1240 loss 0.10063766986131668
step 1250 loss 0.09738232344388961
step 1260 loss 0.10033196732401847
step 1270 loss 0.09658047333359718
step 1280 loss 0.09741731435060501
step 1290 loss 0.09769337102770806
step 1300 loss 0.09864196628332138
step 1310 loss 0.10080835446715355
step 1320 loss 0.10102070346474648
step 1330 loss 0.09457526654005051
step 1340 loss 0.10138150602579117
step 1350 loss 0.10142273008823395
step 1360 loss 0.0937430702149868
step 1370 loss 0.10019092187285424
step 1380 loss 0.10151809230446815
step 1390 loss 0.09888988509774208
step 1400 loss 0.10062445104122161
step 1410 loss 0.09508969262242317
step 1420 loss 0.09777781963348389
step 1430 loss 0.09979249835014344
step 1440 loss 0.09628048092126847
step 1450 loss 0.09875118508934974
step 1460 loss 0.09645097181200982
step 1470 loss 0.09890713095664978
step 1480 loss 0.09237299859523773
step 1490 loss 0.09841028004884719
step 1500 loss 0.09765277951955795
step 1510 loss 0.09672157019376755
step 1520 loss 0.09617339745163918
step 1530 loss 0.09596716687083244
step 1540 loss 0.10171907618641854
step 1550 loss 0.0930345468223095
step 1560 loss 0.09429610073566437
step 1570 loss 0.09364489912986755
step 1580 loss 0.09496854543685913
step 1590 loss 0.09477117955684662
step 1600 loss 0.09953939244151115
step 1610 loss 0.09641739651560784
step 1620 loss 0.0943929985165596
step 1630 loss 0.09035496190190315
step 1640 loss 0.09849282801151275
step 1650 loss 0.09236898347735405
step 1660 loss 0.09338627234101296
step 1670 loss 0.08956880792975426
step 1680 loss 0.09158394262194633
step 1690 loss 0.08807452395558357
step 1700 loss 0.09073529690504074
step 1710 loss 0.09203185141086578
step 1720 loss 0.09578401073813439
step 1730 loss 0.09052726700901985
step 1740 loss 0.09228087738156318
step 1750 loss 0.09107603207230568
step 1760 loss 0.09236785247921944
step 1770 loss 0.09401546567678451
step 1780 loss 0.0959658943116665
step 1790 loss 0.09688720256090164
step 1800 loss 0.09237086027860641
step 1810 loss 0.09474994242191315
step 1820 loss 0.09391781762242317
step 1830 loss 0.09005471244454384
step 1840 loss 0.09520643875002861
step 1850 loss 0.09093259498476983
step 1860 loss 0.0886065922677517
step 1870 loss 0.09136400371789932
step 1880 loss 0.09369785860180854
step 1890 loss 0.09370887950062752
step 1900 loss 0.09683390185236931
step 1910 loss 0.0893877699971199
step 1920 loss 0.09530132189393044
step 1930 loss 0.09465789943933486
step 1940 loss 0.09326501786708832
step 1950 loss 0.08937537744641304
step 1960 loss 0.09189270660281182
step 1970 loss 0.09499547407031059
step 1980 loss 0.09125459864735604
step 1990 loss 0.0902732640504837
step 2000 loss 0.08965852558612823
step 2010 loss 0.08986076787114143
step 2020 loss 0.0881861187517643
step 2030 loss 0.09413214549422264
step 2040 loss 0.09116973876953124
step 2050 loss 0.09260557517409325
step 2060 loss 0.08851880729198455
step 2070 loss 0.09138226881623268
step 2080 loss 0.08605636209249497
step 2090 loss 0.09182402119040489
step 2100 loss 0.08916282653808594
step 2110 loss 0.09007292985916138
step 2120 loss 0.08998951762914657
step 2130 loss 0.0879243403673172
step 2140 loss 0.09122895747423172
step 2150 loss 0.09281325191259385
step 2160 loss 0.09078720286488533
step 2170 loss 0.09011939615011215
step 2180 loss 0.09260442852973938
