Training reward approximator for kitchen Dataset
saved stats to ./Rewards/Kitchen_Reward/Stats/Kitchen_Reward_stats.pkl
Step 2010, loss -5.9187
Step 2020, loss -5.9077
Step 2030, loss -5.9155
Step 2040, loss -5.9290
Step 2050, loss -5.9122
Step 2060, loss -5.9175
Step 2070, loss -5.9419
Step 2080, loss -5.9309
Step 2090, loss -5.9373
Step 2100, loss -5.9360
reward model save to Kitchen_Reward_2100.pkl
Step 2110, loss -5.9323
Step 2120, loss -5.9136
Step 2130, loss -5.9297
Step 2140, loss -5.9233
Step 2150, loss -5.9531
Step 2160, loss -5.9213
Step 2170, loss -5.9583
Step 2180, loss -5.9262
Step 2190, loss -5.9248
Step 2200, loss -5.9495
reward model save to Kitchen_Reward_2200.pkl
Step 2210, loss -5.9436
Step 2220, loss -5.9660
Step 2230, loss -5.9590
Step 2240, loss -5.9398
Step 2250, loss -5.9671
Step 2260, loss -5.9646
Step 2270, loss -5.9477
Step 2280, loss -5.9335
Step 2290, loss -5.9539
Step 2300, loss -5.9481
reward model save to Kitchen_Reward_2300.pkl
Step 2310, loss -5.9622
Step 2320, loss -6.0014
Step 2330, loss -5.9661
Step 2340, loss -5.9429
Step 2350, loss -5.9887
Step 2360, loss -5.9296
Step 2370, loss -5.9870
Step 2380, loss -5.9818
Step 2390, loss -5.9255
Step 2400, loss -5.9683
reward model save to Kitchen_Reward_2400.pkl
Step 2410, loss -5.9890
Step 2420, loss -5.9468
Step 2430, loss -5.9769
Step 2440, loss -5.9418
Step 2450, loss -5.9567
Step 2460, loss -5.9677
Step 2470, loss -5.9315
Step 2480, loss -5.9424
Step 2490, loss -5.9939
Step 2500, loss -5.9788
reward model save to Kitchen_Reward_2500.pkl
Step 2510, loss -5.9776
Step 2520, loss -5.9938
Step 2530, loss -5.9792
Step 2540, loss -5.9872
Step 2550, loss -5.9713
Step 2560, loss -5.9885
Step 2570, loss -5.9630
Step 2580, loss -5.9946
Step 2590, loss -5.9630
Step 2600, loss -5.9660
reward model save to Kitchen_Reward_2600.pkl
Step 2610, loss -5.9755
Step 2620, loss -5.9740
Step 2630, loss -5.9815
Step 2640, loss -5.9553
Step 2650, loss -5.9601
Step 2660, loss -6.0075
Step 2670, loss -5.9783
Step 2680, loss -5.9793
Step 2690, loss -5.9865
Step 2700, loss -5.9867
reward model save to Kitchen_Reward_2700.pkl
Step 2710, loss -5.9867
Step 2720, loss -5.9880
Step 2730, loss -5.9774
Step 2740, loss -5.9876
Step 2750, loss -5.9991
Step 2760, loss -5.9970
Step 2770, loss -5.9967
Step 2780, loss -6.0101
Step 2790, loss -6.0175
Step 2800, loss -6.0235
reward model save to Kitchen_Reward_2800.pkl
Step 2810, loss -5.9982
Step 2820, loss -5.9932
Step 2830, loss -6.0187
Step 2840, loss -5.9786
Step 2850, loss -6.0062
Step 2860, loss -5.9923
Step 2870, loss -5.9941
Step 2880, loss -5.9995
Step 2890, loss -6.0069
Step 2900, loss -5.9940
reward model save to Kitchen_Reward_2900.pkl
Step 2910, loss -6.0085
Step 2920, loss -5.9988
Step 2930, loss -6.0061
Step 2940, loss -6.0039
Step 2950, loss -6.0144
Step 2960, loss -6.0276
Step 2970, loss -6.0244
Step 2980, loss -6.0364
Step 2990, loss -6.0177
Step 3000, loss -5.9920
reward model save to Kitchen_Reward_3000.pkl
Step 3010, loss -5.9792
Step 3020, loss -6.0238
Step 3030, loss -6.0146
Step 3040, loss -6.0334
Step 3050, loss -6.0210
Step 3060, loss -6.0089
Step 3070, loss -6.0394
Step 3080, loss -6.0064
Step 3090, loss -6.0024
Step 3100, loss -6.0329
reward model save to Kitchen_Reward_3100.pkl
Step 3110, loss -6.0200
Step 3120, loss -6.0069
Step 3130, loss -6.0276
Step 3140, loss -6.0280
Step 3150, loss -6.0086
Step 3160, loss -6.0224
Step 3170, loss -6.0376
Step 3180, loss -6.0253
Step 3190, loss -6.0337
Step 3200, loss -6.0147
reward model save to Kitchen_Reward_3200.pkl
Step 3210, loss -6.0245
Step 3220, loss -6.0303
Step 3230, loss -6.0594
Step 3240, loss -6.0350
Step 3250, loss -6.0054
Step 3260, loss -6.0589
Step 3270, loss -6.0513
Step 3280, loss -6.0141
Step 3290, loss -6.0167
Step 3300, loss -6.0392
reward model save to Kitchen_Reward_3300.pkl
Step 3310, loss -6.0586
Step 3320, loss -6.0395
Step 3330, loss -6.0576
Step 3340, loss -6.0558
Step 3350, loss -6.0516
Step 3360, loss -6.0455
Step 3370, loss -6.0048
Step 3380, loss -6.0724
Step 3390, loss -6.0427
Step 3400, loss -6.0472
reward model save to Kitchen_Reward_3400.pkl
Step 3410, loss -6.0604
Step 3420, loss -6.0302
Step 3430, loss -6.0401
Step 3440, loss -6.0580
Step 3450, loss -6.0826
Step 3460, loss -6.0661
Step 3470, loss -6.0347
Step 3480, loss -6.0415
Step 3490, loss -6.0679
Step 3500, loss -6.0492
reward model save to Kitchen_Reward_3500.pkl
Step 3510, loss -6.0109
Step 3520, loss -6.0725
Step 3530, loss -6.0457
Step 3540, loss -6.0636
Step 3550, loss -6.0514
Step 3560, loss -6.0508
Step 3570, loss -6.0609
Step 3580, loss -6.0650
Step 3590, loss -6.0821
Step 3600, loss -6.0672
reward model save to Kitchen_Reward_3600.pkl
Step 3610, loss -6.0905
Step 3620, loss -6.0631
Step 3630, loss -6.0443
Step 3640, loss -6.0602
Step 3650, loss -6.0502
Step 3660, loss -6.0675
Step 3670, loss -6.0803
Step 3680, loss -6.0910
Step 3690, loss -6.0835
Step 3700, loss -6.0714
reward model save to Kitchen_Reward_3700.pkl
Step 3710, loss -6.0596
Step 3720, loss -6.0413
Step 3730, loss -6.0764
Step 3740, loss -6.0723
Step 3750, loss -6.0560
Step 3760, loss -6.0497
Step 3770, loss -6.0692
Step 3780, loss -6.0658
Step 3790, loss -6.0611
Step 3800, loss -6.0752
reward model save to Kitchen_Reward_3800.pkl
Step 3810, loss -6.0741
Step 3820, loss -6.0914
Step 3830, loss -6.0704
Step 3840, loss -6.0556
Step 3850, loss -6.1094
Step 3860, loss -6.0950
Step 3870, loss -6.0610
Step 3880, loss -6.0984
Step 3890, loss -6.0921
Step 3900, loss -6.0559
reward model save to Kitchen_Reward_3900.pkl
Step 3910, loss -6.0676
Step 3920, loss -6.0789
Step 3930, loss -6.1121
Step 3940, loss -6.0968
Step 3950, loss -6.0736
Step 3960, loss -6.0822
Step 3970, loss -6.0700
Step 3980, loss -6.1002
Step 3990, loss -6.0818
Step 4000, loss -6.1214
reward model save to Kitchen_Reward_4000.pkl
Step 4010, loss -6.1217
Step 4020, loss -6.1133
Step 4030, loss -6.0915
Step 4040, loss -6.0996
Step 4050, loss -6.1039
Step 4060, loss -6.0891
Step 4070, loss -6.1193
Step 4080, loss -6.1043
Step 4090, loss -6.1096
Step 4100, loss -6.1027
reward model save to Kitchen_Reward_4100.pkl
Step 4110, loss -6.1101
Step 4120, loss -6.1007
Step 4130, loss -6.0931
Step 4140, loss -6.1142
Step 4150, loss -6.1001
Step 4160, loss -6.1011
Step 4170, loss -6.0887
Step 4180, loss -6.1010
Step 4190, loss -6.1065
Step 4200, loss -6.1178
reward model save to Kitchen_Reward_4200.pkl
Step 4210, loss -6.0990
Step 4220, loss -6.0894
Step 4230, loss -6.0942
Step 4240, loss -6.1135
Step 4250, loss -6.0988
Step 4260, loss -6.0892
Step 4270, loss -6.1036
Step 4280, loss -6.0937
Step 4290, loss -6.1186
Step 4300, loss -6.1161
reward model save to Kitchen_Reward_4300.pkl
Step 4310, loss -6.1148
Step 4320, loss -6.1086
Step 4330, loss -6.1163
Step 4340, loss -6.1075
Step 4350, loss -6.0847
Step 4360, loss -6.1122
Step 4370, loss -6.0892
Step 4380, loss -6.1140
Step 4390, loss -6.1150
Step 4400, loss -6.1364
reward model save to Kitchen_Reward_4400.pkl
Step 4410, loss -6.1051
Step 4420, loss -6.1480
Step 4430, loss -6.1059
Step 4440, loss -6.1519
Step 4450, loss -6.1349
Step 4460, loss -6.1477
Step 4470, loss -6.1223
Step 4480, loss -6.1291
Step 4490, loss -6.1343
Step 4500, loss -6.1095
reward model save to Kitchen_Reward_4500.pkl
Step 4510, loss -6.1378
Step 4520, loss -6.1336
Step 4530, loss -6.1000
Step 4540, loss -6.1566
Step 4550, loss -6.0979
Step 4560, loss -6.1260
Step 4570, loss -6.1385
Step 4580, loss -6.1237
Step 4590, loss -6.1224
Step 4600, loss -6.1261
reward model save to Kitchen_Reward_4600.pkl
Step 4610, loss -6.1301
Step 4620, loss -6.1216
Step 4630, loss -6.1505
Step 4640, loss -6.1423
Step 4650, loss -6.1250
Step 4660, loss -6.1286
Step 4670, loss -6.1431
Step 4680, loss -6.1387
Step 4690, loss -6.1277
Step 4700, loss -6.1358
reward model save to Kitchen_Reward_4700.pkl
Step 4710, loss -6.1393
Step 4720, loss -6.1165
Step 4730, loss -6.1462
Step 4740, loss -6.1400
Step 4750, loss -6.1238
Step 4760, loss -6.1492
Step 4770, loss -6.1092
Step 4780, loss -6.1269
Step 4790, loss -6.1525
Step 4800, loss -6.1791
reward model save to Kitchen_Reward_4800.pkl
Step 4810, loss -6.1493
Step 4820, loss -6.1453
Step 4830, loss -6.1520
Step 4840, loss -6.1414
Step 4850, loss -6.1550
Step 4860, loss -6.1291
Step 4870, loss -6.1528
Step 4880, loss -6.1749
Step 4890, loss -6.1500
Step 4900, loss -6.1781
reward model save to Kitchen_Reward_4900.pkl
Step 4910, loss -6.1641
Step 4920, loss -6.1520
Step 4930, loss -6.1543
Step 4940, loss -6.1401
Step 4950, loss -6.1741
Step 4960, loss -6.1437
Step 4970, loss -6.1752
Step 4980, loss -6.1723
Step 4990, loss -6.1711
Step 5000, loss -6.1758
reward model save to Kitchen_Reward_5000.pkl
Step 5010, loss -6.1757
Step 5020, loss -6.1453
Step 5030, loss -6.1721
Step 5040, loss -6.1708
Step 5050, loss -6.1698
Step 5060, loss -6.1500
Step 5070, loss -6.1591
Step 5080, loss -6.1606
Step 5090, loss -6.1619
Step 5100, loss -6.1814
reward model save to Kitchen_Reward_5100.pkl
Step 5110, loss -6.1952
Step 5120, loss -6.1604
Step 5130, loss -6.1605
Step 5140, loss -6.1442
Step 5150, loss -6.1900
Step 5160, loss -6.1746
Step 5170, loss -6.1796
Step 5180, loss -6.1875
Step 5190, loss -6.1500
Step 5200, loss -6.1380
reward model save to Kitchen_Reward_5200.pkl
Step 5210, loss -6.1762
Step 5220, loss -6.1701
Step 5230, loss -6.1594
Step 5240, loss -6.1692
Step 5250, loss -6.1503
Step 5260, loss -6.1219
Step 5270, loss -6.1678
Step 5280, loss -6.1559
Step 5290, loss -6.1475
Step 5300, loss -6.1546
reward model save to Kitchen_Reward_5300.pkl
Step 5310, loss -6.1309
Step 5320, loss -6.1975
Step 5330, loss -6.1788
Step 5340, loss -6.1772
Step 5350, loss -6.1987
Step 5360, loss -6.1589
Step 5370, loss -6.1669
Step 5380, loss -6.2032
Step 5390, loss -6.1780
Step 5400, loss -6.1865
reward model save to Kitchen_Reward_5400.pkl
Step 5410, loss -6.2159
Step 5420, loss -6.1742
Step 5430, loss -6.2110
Step 5440, loss -6.1986
