Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 2310, loss -67.1296
Step 2320, loss -67.5673
Step 2330, loss -66.9082
Step 2340, loss -67.2161
Step 2350, loss -68.0476
Step 2360, loss -70.5909
Step 2370, loss -68.4641
Step 2380, loss -67.7491
Step 2390, loss -68.1934
Step 2400, loss -65.3762
Step 2410, loss -67.8402
Step 2420, loss -70.5938
Step 2430, loss -71.0528
Step 2440, loss -68.3818
Step 2450, loss -71.6911
Step 2460, loss -70.0591
Step 2470, loss -70.0746
Step 2480, loss -69.7688
Step 2490, loss -68.7070
Step 2500, loss -70.2840
Step 2510, loss -72.4661
Step 2520, loss -71.9529
Step 2530, loss -72.3216
Step 2540, loss -67.2330
Step 2550, loss -69.7014
Step 2560, loss -69.3887
Step 2570, loss -71.1563
Step 2580, loss -68.9130
Step 2590, loss -70.2856
Step 2600, loss -71.3643
Step 2610, loss -73.2790
Step 2620, loss -72.5197
Step 2630, loss -68.7111
Step 2640, loss -68.8250
Step 2650, loss -69.7294
Step 2660, loss -72.6570
Step 2670, loss -71.5926
Step 2680, loss -72.5291
Step 2690, loss -69.7404
Step 2700, loss -74.1941
Step 2710, loss -73.0749
Step 2720, loss -69.6031
Step 2730, loss -72.6236
Step 2740, loss -71.2878
Step 2750, loss -71.7605
Step 2760, loss -72.4556
Step 2770, loss -73.4660
Step 2780, loss -73.2901
Step 2790, loss -71.6576
Step 2800, loss -73.7417
Step 2810, loss -72.6963
Step 2820, loss -72.8353
Step 2830, loss -74.9460
Step 2840, loss -74.5734
Step 2850, loss -75.5256
Step 2860, loss -76.4040
Step 2870, loss -71.3314
Step 2880, loss -70.8981
Step 2890, loss -74.4979
Step 2900, loss -74.4248
Step 2910, loss -73.9221
Step 2920, loss -73.2168
Step 2930, loss -72.6152
Step 2940, loss -73.6774
Step 2950, loss -75.2731
Step 2960, loss -75.5946
Step 2970, loss -75.3269
Step 2980, loss -75.9920
Step 2990, loss -74.4306
Step 3000, loss -75.6368
Step 3010, loss -75.5590
Step 3020, loss -74.2033
Step 3030, loss -75.1955
Step 3040, loss -76.7296
Step 3050, loss -78.4037
Step 3060, loss -78.5313
Step 3070, loss -76.1782
Step 3080, loss -74.2120
Step 3090, loss -76.7530
Step 3100, loss -72.6247
Step 3110, loss -73.0115
Step 3120, loss -77.5560
Step 3130, loss -77.1525
Step 3140, loss -74.8758
Step 3150, loss -77.9307
Step 3160, loss -76.5334
Step 3170, loss -78.0043
Step 3180, loss -79.3245
Step 3190, loss -81.4858
Step 3200, loss -78.7372
Step 3210, loss -79.8429
Step 3220, loss -77.9713
Step 3230, loss -80.4324
Step 3240, loss -79.8291
Step 3250, loss -78.5269
Step 3260, loss -76.8575
Step 3270, loss -79.1497
Step 3280, loss -82.0048
Step 3290, loss -80.2502
Step 3300, loss -73.5131
Step 3310, loss -74.0564
Step 3320, loss -77.6349
Step 3330, loss -80.5308
Step 3340, loss -77.3506
Step 3350, loss -78.6493
Step 3360, loss -75.1484
Step 3370, loss -79.1000
Step 3380, loss -78.6798
Step 3390, loss -79.9519
Step 3400, loss -81.2799
Step 3410, loss -82.2061
Step 3420, loss -82.1226
Step 3430, loss -78.9749
Step 3440, loss -81.4310
Step 3450, loss -81.6268
Step 3460, loss -83.2293
Step 3470, loss -78.9582
Step 3480, loss -80.6585
Step 3490, loss -81.8177
Step 3500, loss -78.6661
Step 3510, loss -78.4614
Step 3520, loss -80.2322
Step 3530, loss -82.2090
Step 3540, loss -82.8001
Step 3550, loss -82.6030
Step 3560, loss -81.9130
Step 3570, loss -78.5844
Step 3580, loss -78.8241
Step 3590, loss -81.7755
Step 3600, loss -81.0947
Step 3610, loss -79.6737
Step 3620, loss -82.2972
Step 3630, loss -82.2440
Step 3640, loss -80.4658
Step 3650, loss -80.4418
Step 3660, loss -83.4830
Step 3670, loss -85.0566
Step 3680, loss -82.6838
Step 3690, loss -80.6648
Step 3700, loss -81.9442
Step 3710, loss -83.0765
Step 3720, loss -82.9146
Step 3730, loss -78.7220
Step 3740, loss -80.4280
Step 3750, loss -84.4747
Step 3760, loss -78.8345
Step 3770, loss -80.6788
Step 3780, loss -84.5059
Step 3790, loss -84.7039
Step 3800, loss -83.6569
Step 3810, loss -85.0086
Step 3820, loss -83.2515
Step 3830, loss -82.8612
Step 3840, loss -86.7626
Step 3850, loss -87.5956
Step 3860, loss -83.8526
Step 3870, loss -83.1140
Step 3880, loss -84.9128
Step 3890, loss -84.3273
Step 3900, loss -83.1532
